colonies_number,yield_per_colony,stocks,average_price
5000,42,57000,195
64000,93,2500000,114
39000,85,497000,88
11000,56,209000,141
30000,64,902000,118
28000,80,717000,95
340000,40,3672000,104
33000,51,892000,112
160000,71,1363000,99
60000,58,522000,114
10000,92,285000,158
92000,41,1848000,108
9000,63,374000,240
7000,51,100000,139
26000,81,1221000,126
14000,40,196000,112
4000,61,54000,208
29000,89,413000,108
9000,26,59000,139
72000,64,2350000,114
130000,68,2564000,99
15000,105,189000,90
13000,47,141000,105
135000,68,2203000,94
45000,49,1477000,98
10000,28,67000,360
9000,57,185000,217
6000,59,138000,136
56000,57,1947000,142
11000,45,69000,225
420000,74,9013000,92
14000,61,376000,175
44000,43,1041000,121
25000,42,326000,163
255000,52,10608000,93
7000,65,114000,195
105000,82,1550000,95
25000,39,224000,112
5000,64,96000,126
6000,46,63000,235
46000,44,648000,125
5000,48,79000,196
60000,84,3024000,115
43000,80,894000,103
9000,66,214000,186
25000,64,336000,125
28000,75,525000,131
360000,51,4039000,141
27000,45,656000,150
150000,79,1304000,130
55000,71,312000,149
10000,90,225000,148
90000,40,1440000,142
8000,56,116000,246
6000,67,129000,161
24000,62,580000,156
10000,61,128000,152
4000,39,27000,236
29000,77,246000,133
7000,42,79000,150
71000,73,2021000,143
122000,78,2569000,139
14000,98,110000,130
11000,53,152000,178
134000,70,4596000,137
36000,67,1254000,142
10000,29,52000,237
9000,40,122000,158
6000,48,95000,148
50000,70,1260000,150
12000,52,137000,212
390000,90,8424000,135
14000,53,371000,188
50000,43,1097000,148
23000,48,276000,165
225000,95,11970000,134
7000,61,149000,204
77000,64,1380000,134
28000,48,242000,156
5000,66,119000,179
6000,42,45000,218
41000,44,722000,150
6000,43,49000,198
58000,80,2366000,140
39000,61,381000,137
9000,49,66000,182
20000,52,562000,153
24000,57,301000,139
355000,33,2109000,139
28000,53,326000,140
150000,68,1428000,138
65000,41,346000,147
10000,95,323000,163
103000,46,1706000,145
8000,34,57000,226
9000,32,101000,198
26000,42,339000,151
9000,63,164000,189
5000,35,25000,273
37000,103,610000,132
6000,50,51000,186
66000,60,1505000,151
122000,65,1427000,140
14000,104,87000,132
11000,47,57000,198
146000,70,3577000,145
48000,56,1102000,144
10000,52,57000,129
9000,32,46000,193
7000,60,143000,163
47000,65,978000,183
11000,45,84000,252
450000,77,7623000,137
11000,50,132000,275
55000,34,767000,149
21000,40,319000,199
270000,66,6237000,139
7000,51,86000,235
74000,63,886000,138
26000,38,198000,147
5000,49,69000,236
6000,39,56000,328
62000,44,1064000,149
5000,37,33000,267
63000,60,1588000,151
37000,48,391000,143
9000,54,73000,240
24000,77,665000,152
25000,60,360000,147
410000,67,6318000,155
34000,56,533000,152
200000,69,1794000,156
55000,46,152000,167
10000,77,239000,275
97000,27,1179000,161
9000,41,92000,278
10000,43,151000,223
27000,49,463000,192
9000,52,103000,202
5000,67,67000,272
36000,80,288000,150
5000,41,33000,205
71000,58,1524000,167
128000,66,1774000,155
16000,98,78000,144
11000,52,92000,180
157000,74,2905000,158
41000,55,902000,151
13000,35,73000,190
7000,66,157000,158
45000,64,1123000,196
13000,46,144000,266
510000,91,12995000,150
18000,62,346000,228
59000,39,874000,163
30000,37,377000,213
265000,58,4765000,151
8000,63,106000,250
100000,72,792000,151
